runId,createdAt,gate,v2_score,top_delta_dim,top_delta_val,top_delta_raw_dim,top_delta_raw_val,top_delta_effective_dim,top_delta_effective_val,gateReasons_joined,anti_overfitting_applied,sources_count,unique_domains,duplicate_ratio
"run_1772100355314_1gsr2v","2026-02-26T10:05:55.314Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","false","10","10","0"
"run_1772100354281_fov54l","2026-02-26T10:05:54.281Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","evidence_specificity","4","","true","10","10","0"
"run_1772100353258_wh6od2","2026-02-26T10:05:53.258Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","evidence_specificity","4","","true","10","10","0"
"run_1772100352234_pe2gpd","2026-02-26T10:05:52.234Z","false","25","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","minSources_not_met|source_diversity_not_met","false","2","2","0"
"run_1772100351205_yjn164","2026-02-26T10:05:51.205Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","false","10","10","0"
"run_1772100348988_o7xn6c","2026-02-26T10:05:48.988Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","false","10","10","0"
"run_1772100347931_te5g9c","2026-02-26T10:05:47.931Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","evidence_specificity","4","","true","10","10","0"
"run_1772100346856_9mtsf2","2026-02-26T10:05:46.856Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","evidence_specificity","4","","true","10","10","0"
"run_1772100345782_6w1o56","2026-02-26T10:05:45.782Z","false","25","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","minSources_not_met|source_diversity_not_met","false","2","2","0"
"run_1772100344692_7h7nep","2026-02-26T10:05:44.692Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","false","10","10","0"
"run_1772100257741_x3mwx5","2026-02-26T10:04:17.741Z","false","25","counterarguments_nuance","3","counterarguments_nuance","3","evidence_specificity","4","minSources_not_met|source_diversity_not_met","true","2","2","0"
"run_1772100256706_ggpuuf","2026-02-26T10:04:16.706Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","evidence_specificity","4","","true","10","10","0"
"run_1772100255627_rcencx","2026-02-26T10:04:15.627Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","false","10","10","0"
"run_1772100147542_9gubrl","2026-02-26T10:02:27.542Z","false","25","counterarguments_nuance","3","counterarguments_nuance","3","evidence_specificity","4","minSources_not_met|source_diversity_not_met","true","2","2","0"
"run_1772100146462_mz6sr6","2026-02-26T10:02:26.462Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","evidence_specificity","4","","true","10","10","0"
"run_1772100145408_d1rwjv","2026-02-26T10:02:25.408Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","false","10","10","0"
"run_1772099835398_uwn2l5","2026-02-26T09:57:15.398Z","false","25","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","minSources_not_met|source_diversity_not_met","true","2","2","0"
"run_1772099835383_m5prlk","2026-02-26T09:57:15.383Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","true","10","10","0"
"run_1772099827481_av5bve","2026-02-26T09:57:07.481Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","false","10","10","0"
"run_1772099827467_33dy83","2026-02-26T09:57:07.467Z","true","26","counterarguments_nuance","3","counterarguments_nuance","3","counterarguments_nuance","3","","false","10","10","0"
